MatchDate,TeamName
2025-08-15,FC Gütersloh 2000
2025-08-15,Bayer Leverkusen
2025-08-15,Werder Bremen
2025-08-15,1. FC Magdeburg
2025-08-15,1. FC Union Berlin
2025-08-15,Arminia Bielefeld
2025-08-15,SG Sonnenhof Großaspach
2025-08-15,Saarbrücken
2025-08-16,FK Pirmasens
2025-08-16,SV Darmstadt 98
2025-08-16,RB Leipzig
2025-08-16,VfL Wolfsburg
2025-08-16,TSG Hoffenheim
2025-08-16,BFC Dynamo Berlin
2025-08-16,1. FC Nürnberg
2025-08-16,St. Pauli
2025-08-16,1. FC Heidenheim 1846
2025-08-16,Hamburg SV
2025-08-16,SC Freiburg
2025-08-16,VfL Bochum
2025-08-16,Hansa Rostock
2025-08-16,Bahlinger SC 1929
2025-08-16,FC Eintracht Norderstedt
2025-08-16,FV Illertissen
2025-08-16,Hemelingen
2025-08-16,SV Sandhausen
2025-08-16,Energie Cottbus
2025-08-16,Sportfreunde Lotte
2025-08-16,VfB Lübeck
2025-08-16,Hannover 96
2025-08-17,Viktoria Köln
2025-08-17,SV Atlas Delmenhorst
2025-08-17,Eintracht Frankfurt
2025-08-17,ZFC Meuselwitz
2025-08-17,SC Paderborn 07
2025-08-17,Schalke 04
2025-08-17,SpVgg Greuther Fürth
2025-08-17,Kaiserslautern
2025-08-17,FC Cologne
2025-08-17,Borussia Mönchengladbach
2025-08-17,Karlsruher SC
2025-08-17,Holstein Kiel
2025-08-17,FC Augsburg
2025-08-17,SV 07 Elversberg
2025-08-17,FC 08 Homburg
2025-08-17,RSV Eintracht
2025-08-17,Hallescher FC
2025-08-17,SSV Ulm 1846
2025-08-17,Lohne
2025-08-17,1. FC Lokomotive Leipzig
2025-08-17,FV Engers 07
2025-08-17,SSV Jahn Regensburg
2025-08-18,Hertha Berlin
2025-08-18,Fortuna Düsseldorf
2025-08-18,Mainz
2025-08-18,Borussia Dortmund
2025-08-18,Rot-Weiss Essen
2025-08-18,Preußen Münster
2025-08-18,Dynamo Dresden
2025-08-18,1. FC Schweinfurt 05
2025-08-26,VfB Stuttgart
2025-08-26,TSV Eintracht Braunschweig
2025-08-27,Bayern Munich
2025-08-27,SV Wehen Wiesbaden
2025-10-28,Hamburg SV
2025-10-28,SV 07 Elversberg
2025-10-28,Borussia Dortmund
2025-10-28,St. Pauli
2025-10-28,FC Augsburg
2025-10-28,Energie Cottbus
2025-10-28,Borussia Mönchengladbach
2025-10-28,VfL Wolfsburg
2025-10-28,Hertha Berlin
2025-10-28,1. FC Heidenheim 1846
2025-10-28,TSG Hoffenheim
2025-10-28,VfL Bochum
2025-10-28,RB Leipzig
2025-10-28,Karlsruher SC
2025-10-28,Holstein Kiel
2025-10-28,Eintracht Frankfurt
2025-10-29,Mainz
2025-10-29,FV Illertissen
2025-10-29,SC Paderborn 07
2025-10-29,FC Cologne
2025-10-29,1. FC Union Berlin
2025-10-29,Fortuna Düsseldorf
2025-10-29,SC Freiburg
2025-10-29,Bayern Munich
2025-10-29,Arminia Bielefeld
2025-10-29,Kaiserslautern
2025-10-29,Bayer Leverkusen
2025-10-29,VfB Stuttgart
2025-10-29,1. FC Magdeburg
2025-10-29,Schalke 04
2025-10-29,SpVgg Greuther Fürth
2025-10-29,SV Darmstadt 98
2025-12-02,St. Pauli
2025-12-02,Bayer Leverkusen
2025-12-02,1. FC Magdeburg
2025-12-02,RB Leipzig
2025-12-02,Borussia Dortmund
2025-12-02,Hertha Berlin
2025-12-02,Borussia Mönchengladbach
2025-12-02,Kaiserslautern
2025-12-03,Holstein Kiel
2025-12-03,SV Darmstadt 98
2025-12-03,VfB Stuttgart
2025-12-03,Bayern Munich
2025-12-03,1. FC Union Berlin
2025-12-03,VfL Bochum
2025-12-03,SC Freiburg
2025-12-03,Hamburg SV
2026-02-03,St. Pauli
2026-02-03,Bayer Leverkusen
2026-02-04,Holstein Kiel
2026-02-04,VfB Stuttgart
2026-02-10,SC Freiburg
2026-02-10,Hertha Berlin
2026-02-11,RB Leipzig
2026-02-11,Bayern Munich
2026-04-22,Bayern Munich
2026-04-22,Bayer Leverkusen
2026-04-23,SC Freiburg
2026-04-23,VfB Stuttgart
2026-05-23,Bayern Munich
2026-05-23,VfB Stuttgart
