MatchDate,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Home_xG,Away_xG
2023-08-18,Werder Bremen,Bayern Munich,0,4,0.33,3.3
2023-08-19,Leverkusen,RB Leipzig,3,2,2.31,1.98
2023-08-19,Augsburg,M'gladbach,4,4,2.64,1.98
2023-08-19,Hoffenheim,Freiburg,1,2,1.65,2.64
2023-08-19,Wolfsburg,Heidenheim,2,0,2.64,0.33
2023-08-19,Dortmund,FC Koln,1,0,0.66,1.32
2023-08-19,Stuttgart,Bochum,5,0,2.97,0.33
2023-08-20,Union Berlin,Mainz,4,1,2.31,0.99
2023-08-20,Ein Frankfurt,Darmstadt,1,0,1.32,0.66
2023-08-25,RB Leipzig,Stuttgart,5,1,3.63,0.99
2023-08-26,Bochum,Dortmund,1,1,1.98,0.99
2023-08-26,Heidenheim,Hoffenheim,2,3,2.97,1.98
2023-08-26,Darmstadt,Union Berlin,1,4,1.98,1.98
2023-08-26,Freiburg,Werder Bremen,1,0,1.98,0.66
2023-08-26,FC Koln,Wolfsburg,1,2,0.66,1.98
2023-08-26,M'gladbach,Leverkusen,0,3,0.66,3.3
2023-08-27,Mainz,Ein Frankfurt,1,1,2.31,0.66
2023-08-27,Bayern Munich,Augsburg,3,1,1.98,0.66
2023-09-01,Dortmund,Heidenheim,2,2,2.97,1.98
2023-09-02,Augsburg,Bochum,2,2,0.99,2.97
2023-09-02,Hoffenheim,Wolfsburg,3,1,1.65,2.31
2023-09-02,Leverkusen,Darmstadt,5,1,4.29,0.33
2023-09-02,Stuttgart,Freiburg,5,0,1.98,1.65
2023-09-02,Werder Bremen,Mainz,4,0,1.98,0.99
2023-09-02,M'gladbach,Bayern Munich,1,2,0.99,2.97
2023-09-03,Ein Frankfurt,FC Koln,1,1,1.32,0.66
2023-09-03,Union Berlin,RB Leipzig,0,3,0.33,2.64
2023-09-15,Bayern Munich,Leverkusen,2,2,2.97,1.65
2023-09-16,FC Koln,Hoffenheim,1,3,2.31,1.65
2023-09-16,Freiburg,Dortmund,2,4,1.32,1.98
2023-09-16,Mainz,Stuttgart,1,3,0.99,1.98
2023-09-16,RB Leipzig,Augsburg,3,0,1.98,1.32
2023-09-16,Wolfsburg,Union Berlin,2,1,0.99,1.65
2023-09-16,Bochum,Ein Frankfurt,1,1,3.3,1.98
2023-09-17,Heidenheim,Werder Bremen,4,2,1.32,1.32
2023-09-17,Darmstadt,M'gladbach,3,3,2.64,3.3
2023-09-22,Stuttgart,Darmstadt,3,1,3.63,0.0
2023-09-23,Dortmund,Wolfsburg,1,0,1.32,0.66
2023-09-23,Augsburg,Mainz,2,1,0.99,0.99
2023-09-23,Bayern Munich,Bochum,7,0,5.28,0.33
2023-09-23,Union Berlin,Hoffenheim,0,2,1.98,1.32
2023-09-23,Werder Bremen,FC Koln,2,1,1.98,1.65
2023-09-23,M'gladbach,RB Leipzig,0,1,0.33,1.32
2023-09-24,Leverkusen,Heidenheim,4,1,3.3,0.33
2023-09-24,Ein Frankfurt,Freiburg,0,0,1.65,0.66
2023-09-29,Hoffenheim,Dortmund,1,3,1.65,1.65
2023-09-30,Heidenheim,Union Berlin,1,0,1.32,2.64
2023-09-30,FC Koln,Stuttgart,0,2,1.65,1.32
2023-09-30,Bochum,M'gladbach,1,3,1.65,2.97
2023-09-30,Mainz,Leverkusen,0,3,0.99,0.99
2023-09-30,RB Leipzig,Bayern Munich,2,2,0.66,1.65
2023-09-30,Wolfsburg,Ein Frankfurt,2,0,2.31,0.99
