Team,MatchesPlayed,Wins,Draws,Losses,Goals,GoalsAgainst,GoalsPerGame,xG,xGA,xGD,xGD_per90,Possession
Bayern Munich,102,76,15,11,315,113,3.09,266.3,105.6,160.7,1.576,
Leverkusen,102,64,26,12,229,114,2.25,201.3,137.3,64.0,0.628,
Stuttgart,102,55,20,27,213,141,2.09,201.6,141.6,60.1,0.589,
RB Leipzig,102,52,25,25,196,134,1.92,191.4,139.3,52.1,0.511,
Dortmund,102,57,22,23,209,128,2.05,171.6,139.9,31.7,0.311,
Ein Frankfurt,102,39,34,29,180,161,1.76,161.4,161.4,0.0,0.0,
Hamburg,34,9,11,14,40,54,1.18,51.2,57.1,-5.9,-0.175,
FC Koln,68,12,23,33,77,123,1.13,101.3,110.9,-9.6,-0.141,
Hoffenheim,102,38,25,39,177,186,1.74,166.6,181.2,-14.5,-0.142,
Mainz,102,31,34,37,138,147,1.35,145.9,162.0,-16.2,-0.159,
Freiburg,102,40,24,38,145,168,1.42,141.6,158.1,-16.5,-0.162,
Bochum,68,13,19,36,75,141,1.1,100.3,117.4,-17.2,-0.252,
Wolfsburg,102,28,25,49,142,179,1.39,147.2,166.0,-18.8,-0.184,
Holstein Kiel,34,6,7,21,49,80,1.44,46.5,66.7,-20.1,-0.592,
Union Berlin,102,29,25,48,112,167,1.1,132.4,154.8,-22.4,-0.22,
Werder Bremen,102,33,26,43,139,171,1.36,139.9,166.0,-26.1,-0.256,
Darmstadt,34,3,8,23,30,86,0.88,38.3,71.6,-33.3,-0.98,
St Pauli,68,14,16,38,57,101,0.84,75.2,108.9,-33.7,-0.495,
Augsburg,102,33,26,43,130,172,1.27,138.3,172.6,-34.3,-0.336,
M'gladbach,102,29,30,43,153,177,1.5,153.8,196.0,-42.2,-0.414,
Heidenheim,102,24,25,53,128,191,1.25,124.1,182.5,-58.4,-0.573,
