Date,HomeTeam,WeatherDesc,TempMaxC,PrecipMM,WindKmh
2026-08-28,FC Bayern München,N/A,,,
2026-08-29,RB Leipzig,N/A,,,
2026-08-29,1. FSV Mainz 05,N/A,,,
2026-08-29,1. FC Union Berlin,N/A,,,
2026-08-29,SV 07 Elversberg,N/A,,,
2026-08-29,1. FC Köln,N/A,,,
2026-08-29,Borussia Dortmund,N/A,,,
2026-08-30,SC Freiburg,N/A,,,
2026-08-30,FC Augsburg,N/A,,,
2026-09-04,VfB Stuttgart,N/A,,,
2026-09-05,SV Werder Bremen,N/A,,,
2026-09-05,TSG 1899 Hoffenheim,N/A,,,
2026-09-05,Bayer 04 Leverkusen,N/A,,,
2026-09-05,Borussia Mönchengladbach,N/A,,,
2026-09-05,SC Paderborn 07,N/A,,,
2026-09-05,FC Schalke 04,N/A,,,
2026-09-06,Hamburger SV,N/A,,,
2026-09-06,Eintracht Frankfurt,N/A,,,
2026-09-11,1. FC Union Berlin,N/A,,,
2026-09-12,TSG 1899 Hoffenheim,N/A,,,
2026-09-12,Borussia Dortmund,N/A,,,
2026-09-12,FC Augsburg,N/A,,,
2026-09-12,1. FSV Mainz 05,N/A,,,
2026-09-12,SC Freiburg,N/A,,,
2026-09-12,1. FC Köln,N/A,,,
2026-09-13,RB Leipzig,N/A,,,
2026-09-13,SV 07 Elversberg,N/A,,,
2026-09-18,FC Bayern München,N/A,,,
2026-09-19,Hamburger SV,N/A,,,
2026-09-19,Borussia Mönchengladbach,N/A,,,
2026-09-19,SV Werder Bremen,N/A,,,
2026-09-19,Eintracht Frankfurt,N/A,,,
2026-09-19,VfB Stuttgart,N/A,,,
2026-09-20,Bayer 04 Leverkusen,N/A,,,
2026-09-20,FC Schalke 04,N/A,,,
2026-09-20,SC Paderborn 07,N/A,,,
2026-10-10,1. FSV Mainz 05,N/A,,,
2026-10-10,SC Paderborn 07,N/A,,,
2026-10-10,1. FC Köln,N/A,,,
2026-10-10,RB Leipzig,N/A,,,
2026-10-10,SC Freiburg,N/A,,,
