Date,HomeTeam,AwayTeam,Bookmaker,HomeWinOdds,DrawOdds,AwayWinOdds,ImpliedProb_HomeWin,ImpliedProb_Draw,ImpliedProb_AwayWin,BookmakerMargin
2026-05-08,Borussia Dortmund,Eintracht Frankfurt,pinnacle,1.51,5.0,5.68,0.6378,0.1926,0.1696,3.83
2026-05-08,Borussia Dortmund,Eintracht Frankfurt,draftkings,1.48,4.7,5.25,0.6263,0.1972,0.1765,7.89
2026-05-08,Borussia Dortmund,Eintracht Frankfurt,betmgm,1.53,4.75,5.25,0.6198,0.1996,0.1806,5.46
2026-05-09,Augsburg,Borussia Monchengladbach,pinnacle,2.09,3.74,3.47,0.4627,0.2586,0.2787,3.4
2026-05-09,Augsburg,Borussia Monchengladbach,draftkings,2.05,3.55,3.2,0.4508,0.2603,0.2888,8.2
2026-05-09,Augsburg,Borussia Monchengladbach,betmgm,2.1,3.7,3.25,0.4517,0.2564,0.2919,5.42
2026-05-09,VfB Stuttgart,Bayer Leverkusen,pinnacle,2.2,4.07,2.99,0.4393,0.2375,0.3232,3.47
2026-05-09,VfB Stuttgart,Bayer Leverkusen,draftkings,2.1,3.85,2.85,0.4382,0.239,0.3229,8.68
2026-05-09,VfB Stuttgart,Bayer Leverkusen,betmgm,2.15,4.0,2.95,0.4412,0.2372,0.3216,5.41
2026-05-09,RB Leipzig,FC St. Pauli,pinnacle,1.32,5.81,9.25,0.73,0.1658,0.1042,3.78
2026-05-09,RB Leipzig,FC St. Pauli,draftkings,1.3,5.25,8.0,0.7092,0.1756,0.1152,8.47
2026-05-09,RB Leipzig,FC St. Pauli,betmgm,1.33,5.5,8.25,0.7127,0.1724,0.1149,5.49
2026-05-09,TSG Hoffenheim,Werder Bremen,pinnacle,1.47,5.35,5.78,0.654,0.1797,0.1663,4.02
2026-05-09,TSG Hoffenheim,Werder Bremen,draftkings,1.45,4.9,5.25,0.6361,0.1882,0.1757,8.42
2026-05-09,TSG Hoffenheim,Werder Bremen,betmgm,1.5,4.8,5.5,0.6308,0.1971,0.172,5.68
2026-05-09,VfL Wolfsburg,Bayern Munich,pinnacle,4.29,4.41,1.68,0.2209,0.2149,0.5642,5.51
2026-05-09,VfL Wolfsburg,Bayern Munich,draftkings,4.0,4.3,1.67,0.2312,0.2151,0.5537,8.14
2026-05-09,VfL Wolfsburg,Bayern Munich,betmgm,4.0,4.6,1.69,0.236,0.2053,0.5587,5.91
2026-05-10,Hamburger SV,SC Freiburg,pinnacle,2.83,3.77,2.41,0.3419,0.2566,0.4015,3.35
2026-05-10,Hamburger SV,SC Freiburg,draftkings,2.65,3.5,2.3,0.3437,0.2602,0.396,9.79
2026-05-10,Hamburger SV,SC Freiburg,betmgm,2.75,3.7,2.38,0.345,0.2564,0.3986,5.41
2026-05-10,1. FC Köln,1. FC Heidenheim,pinnacle,1.92,4.19,3.65,0.504,0.2309,0.2651,3.35
2026-05-10,1. FC Köln,1. FC Heidenheim,draftkings,1.83,3.9,3.45,0.5001,0.2347,0.2653,9.27
2026-05-10,1. FC Köln,1. FC Heidenheim,betmgm,1.85,4.0,3.8,0.513,0.2373,0.2497,5.37
2026-05-10,FSV Mainz 05,Union Berlin,pinnacle,1.78,4.01,4.47,0.5429,0.241,0.2162,3.49
2026-05-10,FSV Mainz 05,Union Berlin,draftkings,1.74,3.7,4.1,0.5278,0.2482,0.224,8.89
2026-05-10,FSV Mainz 05,Union Berlin,betmgm,1.77,3.9,4.2,0.5333,0.242,0.2247,5.95
