Date,Time,Matchday,HomeTeam,AwayTeam,Status
2026-05-09,09:30 AM ET,33,VfB Stuttgart,Bayer 04 Leverkusen,TIMED
2026-05-09,09:30 AM ET,33,TSG 1899 Hoffenheim,SV Werder Bremen,TIMED
2026-05-09,09:30 AM ET,33,FC Augsburg,Borussia Mönchengladbach,TIMED
2026-05-09,09:30 AM ET,33,RB Leipzig,FC St. Pauli 1910,TIMED
2026-05-09,12:30 PM ET,33,VfL Wolfsburg,FC Bayern München,TIMED
2026-05-10,09:30 AM ET,33,Hamburger SV,SC Freiburg,TIMED
2026-05-10,11:30 AM ET,33,1. FC Köln,1. FC Heidenheim 1846,TIMED
2026-05-10,01:30 PM ET,33,1. FSV Mainz 05,1. FC Union Berlin,TIMED
2026-05-16,09:30 AM ET,34,SV Werder Bremen,Borussia Dortmund,TIMED
2026-05-16,09:30 AM ET,34,1. FC Heidenheim 1846,1. FSV Mainz 05,TIMED
2026-05-16,09:30 AM ET,34,SC Freiburg,RB Leipzig,TIMED
2026-05-16,09:30 AM ET,34,Eintracht Frankfurt,VfB Stuttgart,TIMED
2026-05-16,09:30 AM ET,34,FC St. Pauli 1910,VfL Wolfsburg,TIMED
2026-05-16,09:30 AM ET,34,1. FC Union Berlin,FC Augsburg,TIMED
2026-05-16,09:30 AM ET,34,Borussia Mönchengladbach,TSG 1899 Hoffenheim,TIMED
2026-05-16,09:30 AM ET,34,FC Bayern München,1. FC Köln,TIMED
2026-05-16,09:30 AM ET,34,Bayer 04 Leverkusen,Hamburger SV,TIMED
