Team,HomeAttack,HomeDefense,AwayAttack,AwayDefense
Leverkusen,1.19,0.9055,1.3171,0.7923
Schalke 04,0.7726,1.1026,0.7823,1.0678
Mainz,0.8518,0.9368,0.8898,1.0491
Werder Bremen,0.8129,1.1728,1.0262,1.0575
Ingolstadt,0.7406,1.0348,0.5605,0.8784
Stuttgart,0.976,0.9869,1.0444,1.0985
Fortuna Dusseldorf,0.7751,1.2073,0.8624,1.309
M'gladbach,1.0804,0.9368,1.0113,1.0741
Freiburg,0.968,0.9659,0.8322,1.0678
Heidenheim,0.7578,1.3798,0.8911,1.0908
Greuther Furth,0.5167,1.4229,0.5605,1.6879
St Pauli,0.465,1.078,0.6468,0.8784
Wolfsburg,0.905,1.027,0.9447,0.9426
Bielefeld,0.4823,0.9917,0.539,1.0162
Union Berlin,0.871,0.8932,0.7823,1.0088
Darmstadt,0.5511,1.4085,0.6899,1.1942
Nurnberg,0.5511,0.9486,0.4312,1.5846
Dortmund,1.5532,0.8271,1.3288,0.8299
Hoffenheim,1.0459,1.0858,1.1485,1.0146
Bochum,0.7837,1.1965,0.6683,1.3262
Hamburg,0.7148,0.9594,0.636,1.0765
Hertha,0.831,1.1103,0.8193,1.0205
RB Leipzig,1.2539,0.7546,1.272,0.7819
FC Koln,0.8152,1.0636,0.8336,1.0985
Paderborn,0.7234,1.9834,0.6899,0.9645
Augsburg,0.8048,1.125,0.8075,1.0678
Bayern Munich,1.8883,0.6311,1.76,0.6326
Hannover,0.666,1.1642,0.6899,1.2171
Holstein Kiel,0.8267,1.7679,1.078,1.3434
Ein Frankfurt,1.0365,0.9368,0.9996,1.0146
